fund_code,fund_name,n_managers,max_tenure_years,min_tenure_years,recent_manager_added,manager_names,tenure_list,qieman_net_asset
012640,鹏华稳健鸿利一年持有期混合A,1,4.8,4.8,False,伍旋,4.8,1.95亿
501082,博时科创主题灵活配置混合(LOF)A,1,0.1,0.1,True,齐宁,0.1,4.02亿
013853,大成匠心卓越三年持有混合A,1,4,4,False,刘旭,4,34.03亿
673060,西部利得景瑞灵活配置混合A,1,0.4,0.4,True,张昌平,0.4,4.29亿
011111,华泰柏瑞行业严选混合A,1,5,5,False,吕慧建,5,9740.89万
001405,东方红策略精选混合A,1,9.9,9.9,False,孔令超,9.9,17.24亿
673110,西部利得新润混合A,1,2.1,2.1,False,葛山,2.1,4.68亿
004320,前海开源沪港深乐享生活,2,4.7,1.5,False,梁策|魏淳,1.5|4.7,10.57亿
002282,平安安享灵活配置混合A,1,2.3,2.3,False,莫艽,2.3,1.81亿
169103,东方红睿轩三年持有混合,1,4.1,4.1,False,周云,4.1,8.22亿
121010,国投瑞银瑞源灵活配置混合A,1,5.9,5.9,False,綦缚鹏,5.9,3.78亿
006111,泰康弘实3个月定开,2,2.4,0.5,False,陆建巍|范子铭,2.4|0.5,44.85亿
009715,汇添富策略增长灵活配置混合,1,2.4,2.4,False,李灵毓,2.4,1.77亿
166005,中欧价值发现混合A,1,1.2,1.2,False,柳世庆,1.2,28.25亿
010779,西部利得量化优选一年持有期A,1,2.6,2.6,False,翟梓舰,2.6,3.18亿
009189,华宝成长策略混合A,1,6.1,6.1,False,汤慧,6.1,1.38亿
015485,平安策略优选1年持有期混合A,1,3.4,3.4,False,神爱前,3.4,2.93亿
012456,鹏扬数字经济先锋混合A,2,1.8,0.6,False,章宏帆|张勋,0.6|1.8,3.98亿
161611,融通内需驱动混合A,1,1.5,1.5,False,刘安坤,1.5,4.81亿
004390,平安转型创新混合A,1,6.5,6.5,False,神爱前,6.5,4.54亿
008850,景顺长城价值稳进三年定开混合,1,1.2,1.2,False,刘苏,1.2,8.97亿
009062,财通智慧成长混合A,1,1.4,1.4,False,贾雅楠,1.4,4.24亿
050010,博时特许价值混合A,1,8,8,False,曾鹏,8,5.60亿
013095,安信远见成长混合A,1,4.3,4.3,False,张竞,4.3,25.83亿
014187,华夏量化优选股票A,1,4.5,4.5,False,袁英杰,4.5,3.89亿
011030,达诚价值先锋灵活配置A,2,0.9,0.3,True,陈染|缪扬帆,0.9|0.3,3086.69万
017606,华泰柏瑞轮动精选混合A,1,3.1,3.1,False,董辰,3.1,18.68亿
002064,华富产业升级灵活配置混合A,1,0.5,0.5,False,沈成,0.5,2.56亿
519778,交银经济新动力混合A,1,8,8,False,郭斐,8,16.68亿
519197,万家颐达灵活配置混合A,1,3.3,3.3,False,乔亮,3.3,5589.54万
000823,银华高端制造业A,2,9.6,5,False,薄官辉|王浩,9.6|5,2.89亿
010114,华宝新兴成长混合A,1,4.5,4.5,False,陈怀逸,4.5,2.03亿
017876,汇添富新能源精选混合A,1,3.2,3.2,False,刘昇,3.2,9.79亿
014811,平安兴奕成长1年持有混合A,1,4.4,4.4,False,神爱前,4.4,1.07亿
000925,汇添富外延增长主题股票A,1,6.5,6.5,False,蔡志文,6.5,31.06亿
008955,交银创新领航混合,1,6.3,6.3,False,郭斐,6.3,13.39亿
003692,大成景尚灵活配置混合A,1,9.1,9.1,False,孙丹,9.1,44.84亿
007592,华夏价值精选混合A,1,5.3,5.3,False,朱熠,5.3,12.70亿
008116,银华沪深股通精选混合A,1,6.1,6.1,False,和玮,6.1,6.85亿
010013,易方达信息行业精选股票A,1,5.8,5.8,False,郑希,5.8,48.13亿
013431,华泰柏瑞景气汇选三年持有期混合A,1,3,3,False,董辰,3,4.22亿
015408,景顺长城成长趋势股票A,2,2.9,0.7,False,刘力思|张靖,0.7|2.9,1.18亿
004671,国联核心成长,1,3.3,3.3,False,吴刚,3.3,8302.31万
015564,大成弘远回报一年持有期混合A,1,3.7,3.7,False,徐彦,3.7,8.53亿
014420,中欧成长领航一年持有混合A,1,0,0,True,殷姿,0,6.14亿
005587,安信比较优势混合A,1,5.4,5.4,False,张竞,5.4,1.84亿
001835,易方达瑞祥灵活配置混合A,1,2.9,2.9,False,林虎,2.9,3.25亿
013680,华安品质甄选混合A,1,3.9,3.9,False,刘畅畅,3.9,22.48亿
519191,万家新利灵活配置混合,1,5.7,5.7,False,黄海,5.7,4.91亿
005598,广发中小盘精选混合A,1,4.7,4.7,False,陈韫中,4.7,54.05亿
519698,交银先锋混合A,1,5.9,5.9,False,封晴,5.9,5.67亿
320005,诺安价值增长混合A,1,2,2,False,吕磊,2,18.69亿
002179,华安事件驱动量化策略混合A,1,6.1,6.1,False,张序,6.1,35.37亿
014460,平安品质优选混合A,1,4.5,4.5,False,神爱前,4.5,8.49亿
015137,国富均衡增长混合A,1,3.9,3.9,False,刘晓,3.9,2.16亿
004666,长城久嘉创新成长混合A,1,6.6,6.6,False,尤国梁,6.6,48.24亿
487016,工银瑞信灵活配置混合A,1,8.3,8.3,False,李昱,8.3,3.06亿
240017,华宝新兴产业混合,1,3.7,3.7,False,陈怀逸,3.7,3.54亿
012082,博时数字经济混合A,1,5,5,False,肖瑞瑾,5,9.90亿
519704,交银先进制造混合A,1,0.7,0.7,False,郭若,0.7,38.51亿
000526,国泰浓益灵活配置混合A,2,0.7,0.5,False,秦培栋|郑双明,0.7|0.5,6433.82万
010415,华泰柏瑞质量精选混合A,1,2.9,2.9,False,陈文凯,2.9,21.67亿
100022,富国天瑞强势A,2,2.9,0,True,徐智翔|毕天宇,2.9|0,37.36亿
011170,宝盈智慧生活混合A,1,0.6,0.6,False,赵国进,0.6,8275.99万
002692,富国创新科技混合A,1,0.9,0.9,False,罗擎,0.9,78.61亿
018424,路博迈中国机遇混合A,1,3,3,False,魏晓雪,3,2.26亿
001387,国联新经济混合A,1,6.3,6.3,False,甘传琦,6.3,1.95亿
003501,宏利睿智稳健混合A,1,5.8,5.8,False,孟杰,5.8,7.44亿
002256,金信行业优选混合发起式A,1,5.7,5.7,False,孔学兵,5.7,1.26亿
010363,信澳匠心臻选两年持有期混合,1,3.8,3.8,False,朱然,3.8,12.12亿
006154,华安制造先锋混合A,1,0.4,0.4,True,刘畅畅,0.4,6.92亿
001074,华泰柏瑞沪深300指数增强A,2,3.9,0.6,False,孔令烨|和磊,3.9|0.6,4.20亿
013552,汇添富成长领先混合A,1,4.5,4.5,False,郑磊,4.5,5.92亿
210002,金鹰红利价值A,1,6.1,6.1,False,陈颖,6.1,14.86亿
002707,大摩科技领先混合A,2,7.2,0.2,True,贾昌浩|雷志勇,0.2|7.2,1.45亿
011828,平安睿享成长混合A,1,4.9,4.9,False,黄维,4.9,1.47亿
001272,兴业聚利灵活配置混合A,1,2.6,2.6,False,楼华锋,2.6,6.98亿
014292,嘉实产业领先混合A,1,0.8,0.8,False,李涛,0.8,6.80亿
014299,宏利先进制造股票A,1,4.1,4.1,False,张岩,4.1,1.00亿
001715,工银新焦点混合A,1,3.2,3.2,False,李劭钊,3.2,1.97亿
001188,鹏华改革红利股票,1,4.8,4.8,False,王璐,4.8,2.26亿
001985,富国低碳新经济混合A,1,10.5,10.5,False,杨栋,10.5,18.78亿
519089,新华优选成长混合,1,2.6,2.6,False,赖庆鑫,2.6,3.58亿
013910,兴业兴睿两年持有混合A,1,1.8,1.8,False,邹慧,1.8,17.39亿
001538,摩根科技前沿灵活配置混合A,1,9.6,9.6,False,李德辉,9.6,22.15亿
015504,,0,,,,,,
010936,交银均衡成长一年持有期混合A,1,0.8,0.8,False,徐嘉辰,0.8,15.30亿
012426,南方价值臻选混合A,1,5,5,False,卢玉珊,5,2.40亿
001267,宏利蓝筹混合,1,3.5,3.5,False,魏成,3.5,5604.79万
375010,摩根中国优势A,1,7.2,7.2,False,杜猛,7.2,34.47亿
012093,鹏华创新升级混合A,1,5,5,False,金笑非,5,5.13亿
162214,宏利领先中小盘混合,1,3.3,3.3,False,张岩,3.3,6744.84万
009263,华宝红利精选混合A,1,4,4,False,唐雪倩,4,3.17亿
007872,金信稳健策略灵活配置混合A,1,5.7,5.7,False,孔学兵,5.7,11.39亿
011815,恒越优势精选混合A,1,3.2,3.2,False,吴海宁,3.2,8.20亿
009837,华夏磐锐一年定开混合A,1,5.5,5.5,False,张城源,5.5,1.12亿
000270,建信灵活配置混合A,2,4.7,2.5,False,郭志腾|叶乐天,2.5|4.7,12.77亿
010389,易方达科益混合A,1,0.7,0.7,False,黄蕴藉,0.7,3.22亿
001312,华安新优选灵活配置混合A,2,6.5,6.4,False,周益鸣|陆奔,6.5|6.4,3.55亿
002087,国富新机遇混合A,2,7.7,6.8,False,王莉|刘晓,6.8|7.7,1.93亿
007831,博道伍佰智航股票A,2,6.7,0.9,False,杨梦|刘兆阳,6.7|0.9,18.09亿
008060,景顺长城价值边际灵活配置混合A,1,1.1,1.1,False,刘苏,1.1,12.89亿
202023,南方优选成长混合A,1,11,11,False,骆帅,11,21.78亿
519935,长信创新驱动股票,1,0.4,0.4,True,张思韡,0.4,5111.02万
