fund_code,fund_name,index_code,index_name,tracking_error,info_ratio_track
008933,天弘中债1-3年国开债指数发起A,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.0034254080055764534,-0.5122240270611665
008956,鹏华中债3-5年国开行债券指数A,CBOND_国开行债券总指数_3-5年,中债3-5年国开行债券财富指数,0.007184427994060148,0.3312034387945608
008957,鹏华中债3-5年国开行债券指数C,CBOND_国开行债券总指数_3-5年,中债3-5年国开行债券财富指数,0.008250760101795266,0.44456815359014823
009035,浦银安盛中债1-3年国开债A,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.003876820885083881,-0.4160254887857437
009036,浦银安盛中债1-3年国开债C,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.005255997715735881,-0.34023359883315263
009219,大成彭博农发行债1-3年指数A,CBOND_农发行债券总指数_1-3年,中债1-3年农发行债券财富指数,0.004965709536943008,0.28031526517174093
009220,大成彭博农发行债1-3年指数C,CBOND_农发行债券总指数_1-3年,中债1-3年农发行债券财富指数,0.005006651445457256,0.0835554684623742
009324,长城中债3-5年国开债指数A,CBOND_国开行债券总指数_3-5年,中债3-5年国开行债券财富指数,0.007006648675810931,-0.3025028085997363
009325,长城中债3-5年国开债指数C,CBOND_国开行债券总指数_3-5年,中债3-5年国开行债券财富指数,0.007254596638265871,-0.17735092470398595
009421,工银彭博国开债1-3年指数A,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.005073987153947093,0.13093506513683908
009422,工银彭博国开债1-3年指数C,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.03416033375334607,0.0076651060063560525
009541,银华中债1-3年农发行债券指数A,CBOND_农发行债券总指数_1-3年,中债1-3年农发行债券财富指数,0.0038061099156482536,0.2156805943805363
009560,上银中债1-3年国开行债券指数A,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.006638183291212654,-0.019700617026728106
009593,国泰中债1-3年国开债A,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.0036803402798948237,-0.44294910433584855
009594,国泰中债1-3年国开债C,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.008124706082530336,0.033118394035492514
009615,南方中债0-2年国开行债券指数A,CBOND_国开行债券总指数_总值,中债国开行债券财富指数,0.007795807118151143,-1.9223764734828805
009616,南方中债0-2年国开行债券指数C,CBOND_国开行债券总指数_总值,中债国开行债券财富指数,0.007824093168307428,-2.0521862270596896
009702,鹏华中债1-3年农发行债券指数A,CBOND_农发行债券总指数_1-3年,中债1-3年农发行债券财富指数,0.004250599296753863,-0.17421444096028862
009703,鹏华中债1-3年农发行债券指数C,CBOND_农发行债券总指数_1-3年,中债1-3年农发行债券财富指数,0.22463894791865388,0.39543256870660765
009757,华宝1-3年国开债指数A,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.003941805480693403,-0.9837502658446371
009803,易方达中债7-10年期国开行债券指数C,CBOND_国开行债券总指数_7-10年,中债7-10年国开行债券财富指数,0.00754067307841171,-0.3129616983493594
010262,海富通中债1-3年农发债A,CBOND_农发行债券总指数_1-3年,中债1-3年农发行债券财富指数,0.004564042497459555,0.3953692150299549
010263,海富通中债1-3年农发债C,CBOND_农发行债券总指数_1-3年,中债1-3年农发行债券财富指数,0.004636095939781185,0.07424109390915204
010859,富国中债0-2年国开行债券指数A,CBOND_国开行债券总指数_总值,中债国开行债券财富指数,0.006944572223882277,-2.0673106751856616
010860,富国中债0-2年国开行债券指数C,CBOND_国开行债券总指数_总值,中债国开行债券财富指数,0.006967052441400782,-2.146106822163828
011062,广发中债7-10年国开债指数E,CBOND_国开行债券总指数_7-10年,中债7-10年国开行债券财富指数,0.007762210671836713,0.08931699440391179
011661,华富中债1-3年国开债A,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.005296042428413424,0.08991857588875607
011662,华富中债1-3年国开债C,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.005322652317932984,-0.08007773588781142
012165,工银彭博国开债1-3年指数E,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.014526991343055332,-2.1189295196708144
012166,工银1-3年农发债指数E,CBOND_农发行债券总指数_1-3年,中债1-3年农发行债券财富指数,0.008488688393131391,-0.6165712996981957
012169,工银3-5年国开债指数E,CBOND_国开行债券总指数_3-5年,中债3-5年国开行债券财富指数,0.027183793295883545,0.18500623472935993
012172,工银1-3年国开债指数E,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.01688786294915976,-0.6628983200103234
012735,财通资管中债1-3年国开债A,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.006215677535255237,0.1595864743790659
012736,财通资管中债1-3年国开债C,CBOND_国开行债券总指数_1-3年,中债1-3年国开行债券财富指数,0.034281283242870164,0.44842643498338447
